rubrics_id  rubrics_number  mitt_number  page_number | observer_id  observer_alias - comment | frequency

211  375  49  244  |  49   Secchi - 1/2 | 14

216  389  49  257  |  59   Ferrari - 0,3 | 2
216  389  49  257  |  59   Ferrari - 0,5 | 2
216  389  49  257  |  59   Ferrari - 0,2 | 1

218  0  24  104  |  60   Wolf P-M Wielenmann Mayer Schwabe Weber - weber | 31
218  0  24  104  |  60   Wolf P-M Wielenmann Mayer Schwabe Weber - Wolf | 89
218  0  24  104  |  60   Wolf P-M Wielenmann Mayer Schwabe Weber - Schwabe | 50

219  0  26  208  |  62   Wolf P-M Meyer Weber Leppig - Leppig | 5
219  0  26  208  |  62   Wolf P-M Meyer Weber Leppig - Wolf | 148
219  0  26  208  |  62   Wolf P-M Meyer Weber Leppig - weber | 73
219  0  26  208  |  62   Wolf P-M Meyer Weber Leppig - Weber | 4

232  0  27  240  |  63   Zucconi Schubert Staudacher Horrebow - staudacher | 67
232  0  27  240  |  63   Zucconi Schubert Staudacher Horrebow - Zucconi | 563
232  0  27  240  |  63   Zucconi Schubert Staudacher Horrebow - schubert | 270
232  0  27  240  |  63   Zucconi Schubert Staudacher Horrebow - insert | 137
232  0  27  240  |  63   Zucconi Schubert Staudacher Horrebow - horrebow | 112

241  419  50  308  |  32   Weber - Gyalla | 2

242  422  50  311  |  55   Denza - val. déduites | 25

244  425  50  314  |  59   Ferrari - 1,3 | 1
244  425  50  314  |  59   Ferrari - 1,5 | 1
244  425  50  314  |  59   Ferrari - 0,5 | 1
244  425  50  314  |  59   Ferrari - 2,5 | 1
244  425  50  314  |  59   Ferrari - 0,4 | 1

276  465  55  172  |  67   Ricco - incorrect_wolf_calculation | 1

283  523  67  301  |  56   Wolfer - 37 | 1

293  536  68  330  |  72   Todd - 31/1 ? | 1

313  665  82  55  |  56   Wolfer - wolfer-p | 23

316  484  59  354  |  45   Tacchini - uncertain | 2

318  481  59  350  |  55   Denza - uncertain | 16

325  482  59  351  |  72   Todd - Bender | 37
325  482  59  351  |  72   Todd - 4.25-Bender | 5
325  482  59  351  |  72   Todd - 3.35-Bender | 2
325  482  59  351  |  72   Todd - 2.30-Bender | 1
325  482  59  351  |  72   Todd - 1.15-Bender | 2
325  482  59  351  |  72   Todd - 1.20-Bender | 1
325  482  59  351  |  72   Todd - 2.25-Bender | 2
325  482  59  351  |  72   Todd - 3.25-Bender | 2
325  482  59  351  |  72   Todd - 2.20-Bender | 3
325  482  59  351  |  72   Todd - 1.40-Bender | 1
325  482  59  351  |  72   Todd - 3.10-Bender | 5
325  482  59  351  |  72   Todd - 3.8-Bender | 1
325  482  59  351  |  72   Todd - 2.6-Bender | 1
325  482  59  351  |  72   Todd - 1.3-Bender | 1
325  482  59  351  |  72   Todd - 2.4-Bender | 1
325  482  59  351  |  72   Todd - 4.9-Bender | 1
325  482  59  351  |  72   Todd - 5.20-Bender | 2
325  482  59  351  |  72   Todd - 5.50-Bender | 1
325  482  59  351  |  72   Todd - 3.20-Bender | 1
325  482  59  351  |  72   Todd - 3.30-Bender | 3
325  482  59  351  |  72   Todd - 4.60-Bender | 2
325  482  59  351  |  72   Todd - 4.45-Bender | 1
325  482  59  351  |  72   Todd - 3.45-Bender | 1
325  482  59  351  |  72   Todd - 4.30-Bender | 1
325  482  59  351  |  72   Todd - 2.15-Bender | 4
325  482  59  351  |  72   Todd - 2.10-Bender | 2
325  482  59  351  |  72   Todd - 5.25-Bender | 3
325  482  59  351  |  72   Todd - 5.35-Bender | 1
325  482  59  351  |  72   Todd - 5.30-Bender | 2
325  482  59  351  |  72   Todd - 7.35-Bender | 1
325  482  59  351  |  72   Todd - 1.1-Bender | 2
325  482  59  351  |  72   Todd - 1.2-Bender | 1
325  482  59  351  |  72   Todd - 6.20-Bender | 1
325  482  59  351  |  72   Todd - 5.15-Bender | 2
325  482  59  351  |  72   Todd - 6.15-Bender | 1
325  482  59  351  |  72   Todd - 6.25-Bender | 1
325  482  59  351  |  72   Todd - 7.45-Bender | 1
