rubrics_id  rubrics_number  mitt_number  page_number | observer_id  observer_alias - comment | frequency
891  964  98  266  |  104   Broger - Obs. telescope portatif | 2

895  968  98  269  |  140   Baker - Réflecteur de 3 pouces | 9

900  973  98  273  |  185   Mascari, Ricco, Zanoni et Bemporad - Obs. by Zanoni | 47
900  973  98  273  |  185   Mascari, Ricco, Zanoni et Bemporad - Obs by Ricco | 2

906  979  98  276  |  111   Lewitzky - Obs. by Abold | 1
906  979  98  276  |  111   Lewitzky - Obs. by Obraszew | 48

908  981  98  277  |  132   Guillaume - mauvaise déf img soleil | 31
908  981  98  277  |  132   Guillaume - mauvaise déf img sol | 1

917  993  99  302  |  77   Quimby - telescope portatif 2 1/8 | 6

920  996  99  305  |  111   Lewitzky - Obs. Lewitzky | 2
920  996  99  305  |  111   Lewitzky - Obs. lewitzky | 5
920  996  99  305  |  111   Lewitzky - Obs. by Obraszew | 20
920  996  99  305  |  111   Lewitzky - Obs. Ljapin | 1

921  997  99  305  |  187   Bemporad, Taffara et Horn - obs. by Bemporad | 136
921  997  99  305  |  187   Bemporad, Taffara et Horn - Obs. by Taffara | 82
921  997  99  305  |  187   Bemporad, Taffara et Horn - Obs. by Horn | 73

934  1014  100  343  |  56   Wolfer - Obs. telescope portatif I | 6

935  1015  100  343  |  104   Broger - Obs. telescope portatif | 6

942  1019  100  347  |  143   Hrase - 10cm diameter | 13

944  1021  100  348  |  77   Quimby - 6 | 1

954  1031  100  354  |  132   Guillaume - uncertain | 16

956  1033  100  356  |  124   Subbotin - * se réfère aux observations de Mlle Olga Subbotin | 2
956  1033  100  356  |  124   Subbotin - * | 11

960  1037  100  359  |  101   Catania 1 -  Ricco -  Mascari - uncertain | 20
960  1037  100  359  |  101   Catania 1 -  Ricco -  Mascari - 0 0 | 2

961  12902  129  166  |  117   Broger - uncertain | 3

963  12904  129  167  |  178   Buser - 2 34 | 1
963  12904  129  167  |  178   Buser - uncertain | 1

964  13001  130  205  |  177   Brunner - uncertain | 1
964  13001  130  205  |  177   Brunner - 1 3 | 1

965  13002  130  205  |  117   Broger - 1 4 | 1

967  13004  130  207  |  178   Buser - uncertain | 1
967  13004  130  207  |  178   Buser - 0 0 | 2

968  13101  131  10  |  177   Brunner - uncertain | 2
968  13101  131  10  |  177   Brunner - 0 0 | 1

969  13102  131  11  |  104   Broger - uncertain | 3
969  13102  131  11  |  104   Broger - 0 0 | 1

970  13103  131  12  |  177   Brunner - uncertain | 3

972  13201  132  58  |  177   Brunner - uncertain | 1

973  13202  132  59  |  117   Broger - 14 2 9 | 1
973  13202  132  59  |  117   Broger - uncertain | 3

974  13203  132  60  |  177   Brunner - uncertain | 4
974  13203  132  60  |  177   Brunner - 1 1 | 1

975  13204  132  61  |  178   Buser - uncertain | 2

976  13401  134  145  |  177   Brunner - uncertain | 4

977  13402  134  146  |  117   Broger - uncertain | 5
977  13402  134  146  |  117   Broger - 3 17 | 1

978  13403  134  147  |  177   Brunner - uncertain | 6

979  13404  134  148  |  178   Buser - uncertain | 2

980  13501  135  201  |  177   Brunner - uncertain | 5

981  13502  135  202  |  177   Brunner - uncertain | 2

982  13503  135  202  |  189   Waldmeier - uncertain | 2

983  13504  135  203  |  178   Buser - uncertain | 11

984  13601  136  289  |  177   Brunner - uncertain | 1

985  13602  136  290  |  177   Brunner - uncertain | 1

987  13604  136  292  |  178   Buser - uncertain | 5

990  13703  137  387  |  189   Waldmeier - uncertain | 2

991  13901  139  497  |  177   Brunner - Waldmeier | 8
991  13901  139  497  |  177   Brunner - W | 5

992  13902  139  498  |  177   Brunner - uncertain | 2

993  14001  140  520  |  177   Brunner - Waldmeier | 2
993  14001  140  520  |  177   Brunner - W | 3

994  14002  140  521  |  177   Brunner - uncertain | 2

995  14101  141  11  |  177   Brunner - uncertain | 1
995  14101  141  11  |  177   Brunner - Waldmeier | 2
995  14101  141  11  |  177   Brunner - W | 6

996  14102  141  12  |  177   Brunner - uncertain | 1

997  14103  141  12  |  190   Rapp - uncertain | 5

998  14201  142  48  |  177   Brunner - Waldmeier | 1
998  14201  142  48  |  177   Brunner - uncertain | 2

999  14202  142  49  |  177   Brunner - 3 19 | 1
999  14202  142  49  |  177   Brunner - uncertain | 2

1001  14204  142  50  |  190   Rapp - uncertain | 7

1003  14302  143  75  |  177   Brunner - uncertain | 4

1005  14304  143  76  |  190   Rapp - uncertain | 2
1005  14304  143  76  |  190   Rapp - 1 10 | 1

1006  14401  144  112  |  177   Brunner - uncertain | 5
1006  14401  144  112  |  177   Brunner - Waldmeier | 3
1006  14401  144  112  |  177   Brunner - W | 1

1007  14402  144  113  |  177   Brunner - uncertain | 1

1009  14404  144  114  |  190   Rapp - uncertain | 4
